"Variable","Time","Value","Flags"
"Total 15-64","2004",11959087,
"Females 0-14","2004",1378774,
"Females 15-64","2004",5942053,
"Males 0-14","2004",1450075,
"Males 15-64","2004",6017034,
"Total 65 and over","2005",3387161,
"Total population","2005",18075352,
"Females 65 and over","2005",1996767,
"Females Total","2005",9272097,
"Males 65 and over","2005",1390394,
"Males Total","2005",8803255,
"Average population","2005",18066700,
"Total 0-14","2005",2781058,
"Total 15-64","2005",11907133,
"Females 0-14","2005",1355164,
"Females 15-64","2005",5920166,
"Males 0-14","2005",1425894,
"Males 15-64","2005",5986967,
"Total 65 and over","2006",3481163,
"Total population","2006",18058105,
"Females 65 and over","2006",2037414,
"Females Total","2006",9260917,
"Males 65 and over","2006",1443749,
"Males Total","2006",8797188,
"Average population","2006",18043400,
"Total 0-14","2006",2719446,
"Total 15-64","2006",11857496,
"Females 0-14","2006",1324896,
"Females 15-64","2006",5898607,
"Males 0-14","2006",1394550,
"Males 15-64","2006",5958889,
"Total 65 and over","2007",3554208,
"Total population","2007",18028745,
"Females 65 and over","2007",2067707,
"Females Total","2007",9241400,
"Males 65 and over","2007",1486501,
"Males Total","2007",8787345,
"Average population","2007",18012700,
"Total 0-14","2007",2658938,
"Total 15-64","2007",11815599,
"Females 0-14","2007",1295336,
"Females 15-64","2007",5878357,
"Males 0-14","2007",1363602,
"Males 15-64","2007",5937242,
"Total 65 and over","2008",3587086,
"Total population","2008",17996621,
"Females 65 and over","2008",2078451,
"Females Total","2008",9221824,
"Males 65 and over","2008",1508635,
"Males Total","2008",8774797,
"Average population","2008",17996621,
"Total 0-14","2008",2604434,
"Total 15-64","2008",11805101,
"Females 0-14","2008",1268977,
"Females 15-64","2008",5874396,
"Males 0-14","2008",1335457,
"Males 15-64","2008",5930705,
"Total 65 and over","2009",3615164,
"Total population","2009",17933064,
"Females 65 and over","2009",2086530,
"Females Total","2009",9186645,
"Males 65 and over","2009",1528634,
"Males Total","2009",8746419,
"Total 0-14","2009",2553165,
"Total 15-64","2009",11764735,
"Females 0-14","2009",1243769,
"Females 15-64","2009",5856346,
"Males 0-14","2009",1309396,
"Males 15-64","2009",5908389,
"Total 65 and over","1990",533236,
"Total population","1990",3701657,
"Females 65 and over","1990",343844,
"Females Total","1990",1912918,
"Males 65 and over","1990",189392,
"Males Total","1990",1788739,
"Average population","1990",3732595.5,
"Total 0-14","1990",566576,
"Total 15-64","1990",2548552,
"Females 0-14","1990",275785,
"Females 15-64","1990",1253686,
"Males 0-14","1990",290791,
"Males 15-64","1990",1294866,
"Total 65 and over","1991",597299,
"Total population","1991",3763534,
"Females 65 and over","1991",389284,
"Females Total","1991",1938195,
"Males 65 and over","1991",208015,
"Males Total","1991",1825339,
"Average population","1991",3792396,
"Total 0-14","1991",589718,
"Total 15-64","1991",2576517,
"Females 0-14","1991",287137,
"Females 15-64","1991",1261774,
"Males 0-14","1991",302581,
"Males 15-64","1991",1314743,
"Total 65 and over","1992",607557,
"Total population","1992",3821258,
"Females 65 and over","1992",394338,
"Females Total","1992",1962394,
"Males 65 and over","1992",213219,
"Males Total","1992",1858864,
"Average population","1992",3851104.5,
"Total 0-14","1992",609845,
"Total 15-64","1992",2603856,
"Females 0-14","1992",297154,
"Females 15-64","1992",1270902,
"Males 0-14","1992",312691,
"Males 15-64","1992",1332954,
"Total 65 and over","1993",619348,
"Total population","1993",3880951,
"Females 65 and over","1993",399065,
"Females Total","1993",1988024,
"Males 65 and over","1993",220283,
"Males Total","1993",1892927,
"Average population","1993",3903404.5,
"Total 0-14","1993",629154,
"Total 15-64","1993",2632449,
"Females 0-14","1993",306790,
"Females 15-64","1993",1282169,
"Males 0-14","1993",322364,
"Males 15-64","1993",1350280,
"Total 65 and over","1994",631798,
"Total population","1994",3925858,
"Females 65 and over","1994",403476,
"Females Total","1994",2008144,
"Males 65 and over","1994",228322,
"Males Total","1994",1917714,
"Average population","1994",3938715.5,
"Total 0-14","1994",644556,
"Total 15-64","1994",2649504,
"Females 0-14","1994",314281,
"Females 15-64","1994",1290387,
"Males 0-14","1994",330275,
"Males 15-64","1994",1359117,
"Total 65 and over","1995",643450,
"Total population","1995",3951573,
"Females 65 and over","1995",407402,
"Females Total","1995",2021249,
"Males 65 and over","1995",236048,
"Males Total","1995",1930324,
"Average population","1995",3964746,
"Total 0-14","1995",653537,
"Total 15-64","1995",2654586,
"Females 0-14","1995",318488,
"Females 15-64","1995",1295359,
"Males 0-14","1995",335049,
"Males 15-64","1995",1359227,
"Total 65 and over","1996",655294,
"Total population","1996",3977919,
"Females 65 and over","1996",411554,
"Females Total","1996",2034018,
"Males 65 and over","1996",243740,
"Males Total","1996",1943901,
"Average population","1996",3989243,
"Total 0-14","1996",658289,
"Total 15-64","1996",2664336,
"Females 0-14","1996",320659,
"Females 15-64","1996",1301805,
"Males 0-14","1996",337630,
"Males 15-64","1996",1362531,
"Total 65 and over","1997",662288,
"Total population","1997",4000567,
"Females 65 and over","1997",413088,
"Females Total","1997",2043379,
"Males 65 and over","1997",249200,
"Males Total","1997",1957188,
"Average population","1997",4009197.5,
"Total 0-14","1997",661926,
"Total 15-64","1997",2676353,
"Females 0-14","1997",322373,
"Females 15-64","1997",1307918,
"Males 0-14","1997",339553,
"Males 15-64","1997",1368435,
"Total 65 and over","1998",668064,
"Total population","1998",4017828,
"Females 65 and over","1998",413629,
"Females Total","1998",2049732,
"Males 65 and over","1998",254435,
"Males Total","1998",1968096,
"Average population","1998",4021398.5,
"Total 0-14","1998",663421,
"Total 15-64","1998",2686343,
"Females 0-14","1998",323199,
"Females 15-64","1998",1312904,
"Males 0-14","1998",340222,
"Males 15-64","1998",1373439,
"Total 65 and over","1999",673934,
"Total population","1999",4024969,
"Females 65 and over","1999",414323,
"Females Total","1999",2052702,
"Males 65 and over","1999",259611,
"Males Total","1999",1972267,
"Average population","1999",4027871,
"Total 0-14","1999",662180,
"Total 15-64","1999",2688855,
"Females 0-14","1999",322835,
"Females 15-64","1999",1315544,
"Males 0-14","1999",339345,
"Males 15-64","1999",1373311,
"Total 65 and over","2000",686516,
"Total population","2000",4030773,
"Females 65 and over","2000",418442,
"Females Total","2000",2055512,
"Males 65 and over","2000",268074,
"Males Total","2000",1975261,
"Average population","2000",4030400,
"Total 0-14","2000",660749,
"Total 15-64","2000",2683508,
"Females 0-14","2000",322196,
"Females 15-64","2000",1314874,
"Males 0-14","2000",338553,
"Males 15-64","2000",1368634,
"Total 65 and over","2001",702380,
"Total population","2001",4034557,
"Females 65 and over","2001",424338,
"Females Total","2001",2057743,
"Males 65 and over","2001",278042,
"Males Total","2001",1976814,
"Average population","2001",4041200,
"Total 0-14","2001",657317,
"Total 15-64","2001",2674860,
"Females 0-14","2001",320486,
"Females 15-64","2001",1312919,
"Males 0-14","2001",336831,
"Males 15-64","2001",1361941,
"Total 65 and over","2002",719822,
"Total population","2002",4049066,
"Females 65 and over","2002",431317,
"Females Total","2002",2063389,
"Males 65 and over","2002",288505,
"Males Total","2002",1985677,
"Average population","2002",4051600,
"Total 0-14","2002",651337,
"Total 15-64","2002",2677907,
"Females 0-14","2002",316460,
"Females 15-64","2002",1315612,
"Males 0-14","2002",334877,
"Males 15-64","2002",1362295,
"Total 65 and over","2003",736714,
"Total population","2003",4057727,
"Females 65 and over","2003",437822,
"Females Total","2003",2066396,
"Males 65 and over","2003",298892,
"Males Total","2003",1991331,
"Average population","2003",4058200,
"Total 0-14","2003",642662,
"Total 15-64","2003",2678351,
"Females 0-14","2003",310549,
"Females 15-64","2003",1318025,
"Males 0-14","2003",332113,
"Males 15-64","2003",1360326,
"Total 65 and over","2004",754656,
"Total population","2004",4058682,
"Females 65 and over","2004",444825,
"Females Total","2004",2069555,
"Males 65 and over","2004",309831,
"Males Total","2004",1989127,
"Average population","2004",4059900,
"Total 0-14","2004",630390,
"Total 15-64","2004",2673636,
"Females 0-14","2004",307009,
"Females 15-64","2004",1317721,
"Males 0-14","2004",323381,
"Males 15-64","2004",1355915,
"Total 65 and over","2005",777292,
"Total population","2005",4061105,
"Females 65 and over","2005",454336,
"Females Total","2005",2069130,
"Males 65 and over","2005",322956,
"Males Total","2005",1991975,
"Average population","2005",4060000,
"Total 0-14","2005",617998,
"Total 15-64","2005",2665815,
"Females 0-14","2005",300814,
"Females 15-64","2005",1313980,
"Males 0-14","2005",317184,
"Males 15-64","2005",1351835,
"Total 65 and over","2006",798616,
"Total population","2006",4058843,
"Females 65 and over","2006",463601,
"Females Total","2006",2068595,
"Males 65 and over","2006",335015,
"Males Total","2006",1990248,
"Average population","2006",4055900,
"Total 0-14","2006",602690,
"Total 15-64","2006",2657537,
"Females 0-14","2006",293446,
"Females 15-64","2006",1311548,
"Males 0-14","2006",309244,
"Males 15-64","2006",1345989,
"Total 65 and over","2007",814879,
"Total population","2007",4052860,
"Females 65 and over","2007",470326,
"Females Total","2007",2065307,
"Males 65 and over","2007",344553,
"Males Total","2007",1987553,
"Average population","2007",4049300,
"Total 0-14","2007",587328,
"Total 15-64","2007",2650653,
"Females 0-14","2007",285842,
"Females 15-64","2007",1309139,
"Males 0-14","2007",301486,
"Males 15-64","2007",1341514,
"Total 65 and over","2008",820633,
"Total population","2008",4045643,
"Females 65 and over","2008",471521,
"Females Total","2008",2060955,
"Males 65 and over","2008",349112,
"Males Total","2008",1984688,
"Average population","2008",4045643,
"Total 0-14","2008",574096,
"Total 15-64","2008",2650914,
"Females 0-14","2008",279006,
"Females 15-64","2008",1310428,
"Males 0-14","2008",295090,
"Males 15-64","2008",1340486,
"Total 65 and over","2009",825390,
"Total population","2009",4028351,
"Females 65 and over","2009",472085,
"Females Total","2009",2051320,
"Males 65 and over","2009",353305,
"Males Total","2009",1977031,
"Total 0-14","2009",561220,
"Total 15-64","2009",2641741,
"Females 0-14","2009",272764,
"Females 15-64","2009",1306471,
"Males 0-14","2009",288456,
"Males 15-64","2009",1335270,
"Total 65 and over","1990",150704,
"Total population","1990",1064907,
"Females 65 and over","1990",98136,
"Females Total","1990",552018,
"Males 65 and over","1990",52568,
"Males Total","1990",512889,
"Average population","1990",1068933.5,
"Total 0-14","1990",153492,
"Total 15-64","1990",746435,
"Females 0-14","1990",74612,
"Females 15-64","1990",368423,
"Males 0-14","1990",78880,
"Males 15-64","1990",378012,
"Total 65 and over","1991",167438,
"Total population","1991",1072960,
"Females 65 and over","1991",110401,
"Females Total","1991",554927,
"Males 65 and over","1991",57037,
"Males Total","1991",518033,
"Average population","1991",1074921,
"Total 0-14","1991",157774,
"Total 15-64","1991",747748,
"Females 0-14","1991",76672,
"Females 15-64","1991",367854,
"Males 0-14","1991",81102,
"Males 15-64","1991",379894,
"Total 65 and over","1992",170210,
"Total population","1992",1076882,
"Females 65 and over","1992",111763,
"Females Total","1992",556464,
"Males 65 and over","1992",58447,
"Males Total","1992",520418,
"Average population","1992",1080448.5,
"Total 0-14","1992",160637,
"Total 15-64","1992",746035,
"Females 0-14","1992",77972,
"Females 15-64","1992",366729,
"Males 0-14","1992",82665,
"Males 15-64","1992",379306,
"Total 65 and over","1993",173111,
"Total population","1993",1084015,
"Females 65 and over","1993",112804,
"Females Total","1993",558817,
"Males 65 and over","1993",60307,
"Males Total","1993",525198,
"Average population","1993",1084266,
"Total 0-14","1993",164004,
"Total 15-64","1993",746900,
"Females 0-14","1993",79669,
"Females 15-64","1993",366344,
"Males 0-14","1993",84335,
"Males 15-64","1993",380556,
"Total 65 and over","1994",176056,
"Total population","1994",1084517,
"Females 65 and over","1994",113685,
"Females Total","1994",558939,
"Males 65 and over","1994",62371,
"Males Total","1994",525578,
"Average population","1994",1084359,
"Total 0-14","1994",165987,
"Total 15-64","1994",742474,
"Females 0-14","1994",80569,
"Females 15-64","1994",364685,
"Males 0-14","1994",85418,
"Males 15-64","1994",377789,
"Total 65 and over","1995",179113,
"Total population","1995",1084201,
"Females 65 and over","1995",114679,
"Females Total","1995",558769,
"Males 65 and over","1995",64434,
"Males Total","1995",525432,
"Average population","1995",1084285.5,
"Total 0-14","1995",166427,
"Total 15-64","1995",738661,
"Females 0-14","1995",80685,
"Females 15-64","1995",363405,
"Males 0-14","1995",85742,
"Males 15-64","1995",375256,
"Total 65 and over","1996",182241,
"Total population","1996",1084370,
"Females 65 and over","1996",115600,
"Females Total","1996",558795,
"Males 65 and over","1996",66641,
"Males Total","1996",525575,
"Average population","1996",1084277,
"Total 0-14","1996",166233,
"Total 15-64","1996",735896,
"Females 0-14","1996",80611,
"Females 15-64","1996",362584,
"Males 0-14","1996",85622,
"Males 15-64","1996",373312,
"Total 65 and over","1997",184736,
"Total population","1997",1084184,
"Females 65 and over","1997",116403,
"Females Total","1997",558592,
"Males 65 and over","1997",68333,
"Males Total","1997",525592,
"Average population","1997",1082487,
"Total 0-14","1997",165774,
"Total 15-64","1997",733674,
"Females 0-14","1997",80505,
"Females 15-64","1997",361684,
"Males 0-14","1997",85269,
"Males 15-64","1997",371990,
"Total 65 and over","1998",186745,
"Total population","1998",1080790,
"Females 65 and over","1998",116883,
"Females Total","1998",556756,
"Males 65 and over","1998",69862,
"Males Total","1998",524034,
"Average population","1998",1077506.5,
"Total 0-14","1998",164464,
"Total 15-64","1998",729581,
"Females 0-14","1998",79892,
"Females 15-64","1998",359981,
"Males 0-14","1998",84572,
"Males 15-64","1998",369600,
"Total 65 and over","1999",188102,
"Total population","1999",1074223,
"Females 65 and over","1999",116824,
"Females Total","1999",553782,
"Males 65 and over","1999",71278,
"Males Total","1999",520441,
"Average population","1999",1072862,
"Total 0-14","1999",162425,
"Total 15-64","1999",723696,
"Females 0-14","1999",79035,
"Females 15-64","1999",357923,
"Males 0-14","1999",83390,
"Males 15-64","1999",365773,
"Total 65 and over","2000",190825,
"Total population","2000",1071501,
"Females 65 and over","2000",117535,
"Females Total","2000",552242,
"Males 65 and over","2000",73290,
"Males Total","2000",519259,
"Average population","2000",1069700,
"Total 0-14","2000",160816,
"Total 15-64","2000",719860,
"Females 0-14","2000",78343,
"Females 15-64","2000",356364,
"Males 0-14","2000",82473,
"Males 15-64","2000",363496,
"Total 65 and over","2001",195427,
"Total population","2001",1068703,
"Females 65 and over","2001",119304,
"Females Total","2001",550475,
"Males 65 and over","2001",76123,
"Males Total","2001",518228,
"Average population","2001",1067300,
"Total 0-14","2001",158704,
"Total 15-64","2001",714572,
"Females 0-14","2001",77364,
"Females 15-64","2001",353807,
"Males 0-14","2001",81340,
"Males 15-64","2001",360765,
"Total 65 and over","2002",201101,
"Total population","2002",1066470,
"Females 65 and over","2002",121864,
"Females Total","2002",549038,
"Males 65 and over","2002",79237,
"Males Total","2002",517432,
"Average population","2002",1065400,
"Total 0-14","2002",155732,
"Total 15-64","2002",709637,
"Females 0-14","2002",75929,
"Females 15-64","2002",351245,
"Males 0-14","2002",79803,
"Males 15-64","2002",358392,
"Total 65 and over","2003",206159,
"Total population","2003",1064988,
"Females 65 and over","2003",124046,
"Females Total","2003",547887,
"Males 65 and over","2003",82113,
"Males Total","2003",517101,
"Average population","2003",1063200,
"Total 0-14","2003",152578,
"Total 15-64","2003",706251,
"Females 0-14","2003",74528,
"Females 15-64","2003",349313,
"Males 0-14","2003",78050,
"Males 15-64","2003",356938,
"Total 65 and over","2004",210590,
"Total population","2004",1061376,
"Females 65 and over","2004",125744,
"Females Total","2004",545735,
"Males 65 and over","2004",84846,
"Males Total","2004",515641,
"Average population","2004",1058900,
"Total 0-14","2004",148602,
"Total 15-64","2004",702184,
"Females 0-14","2004",72623,
"Females 15-64","2004",347368,
"Males 0-14","2004",75979,
"Males 15-64","2004",354816,
"Total 65 and over","2005",216374,
"Total population","2005",1056417,
"Females 65 and over","2005",128349,
"Females Total","2005",542957,
"Males 65 and over","2005",88025,
"Males Total","2005",513460,
"Average population","2005",1053400,
"Total 0-14","2005",144805,
"Total 15-64","2005",695238,
"Females 0-14","2005",70783,
"Females 15-64","2005",343825,
"Males 0-14","2005",74022,
"Males 15-64","2005",351413,
"Total 65 and over","2006",221340,
"Total population","2006",1050293,
"Females 65 and over","2006",130460,
"Females Total","2006",539934,
"Males 65 and over","2006",90880,
"Males Total","2006",510359,
"Average population","2006",1046700,
"Total 0-14","2006",140250,
"Total 15-64","2006",688703,
"Females 0-14","2006",68599,
"Females 15-64","2006",340875,
"Males 0-14","2006",71651,
"Males 15-64","2006",347828,
"Total 65 and over","2007",225204,
"Total population","2007",1043167,
"Females 65 and over","2007",132032,
"Females Total","2007",535947,
"Males 65 and over","2007",93172,
"Males Total","2007",507220,
"Average population","2007",1039900,
"Total 0-14","2007",135775,
"Total 15-64","2007",682188,
"Females 0-14","2007",66415,
"Females 15-64","2007",337500,
"Males 0-14","2007",69360,
"Males 15-64","2007",344688,
"Total 65 and over","2008",225788,
"Total population","2008",1036598,
"Females 65 and over","2008",131990,
"Females Total","2008",532519,
"Males 65 and over","2008",93798,
"Males Total","2008",504079,
"Average population","2008",1036598,
"Total 0-14","2008",131712,
"Total 15-64","2008",679098,
"Females 0-14","2008",64359,
"Females 15-64","2008",336170,
"Males 0-14","2008",67353,
"Males 15-64","2008",342928,
"Total 65 and over","2009",226234,
"Total population","2009",1030324,
"Females 65 and over","2009",131844,
"Females Total","2009",529139,
"Males 65 and over","2009",94390,
"Males Total","2009",501185,
"Total 0-14","2009",127821,
"Total 15-64","2009",676269,
"Females 0-14","2009",62477,
"Females 15-64","2009",334818,
"Males 0-14","2009",65344,
"Males 15-64","2009",341451,
"Total 65 and over","1990",686483,
"Total population","1990",4900675,
"Females 65 and over","1990",465823,
"Females Total","1990",2583189,
"Males 65 and over","1990",220660,
"Males Total","1990",2317486,
"Average population","1990",4832474,
"Total 0-14","1990",902355,
"Total 15-64","1990",3242978,
"Females 0-14","1990",439435,
"Females 15-64","1990",1627313,
"Males 0-14","1990",462920,
"Males 15-64","1990",1615665,
"Total 65 and over","1991",748942,
"Total population","1991",4764273,
"Females 65 and over","1991",512413,
"Females Total","1991",2519567,
"Males 65 and over","1991",236529,
"Males Total","1991",2244706,
"Average population","1991",4721592,
"Total 0-14","1991",883471,
"Total 15-64","1991",3131860,
"Females 0-14","1991",429881,
"Females 15-64","1991",1577273,
"Males 0-14","1991",453590,
"Males 15-64","1991",1554587,
"Total 65 and over","1992",744882,
"Total population","1992",4678911,
"Females 65 and over","1992",509191,
"Females Total","1992",2469488,
"Males 65 and over","1992",235691,
"Males Total","1992",2209423,
"Average population","1992",4659945,
"Total 0-14","1992",853663,
"Total 15-64","1992",3080366,
"Females 0-14","1992",415416,
"Females 15-64","1992",1544881,
"Males 0-14","1992",438247,
"Males 15-64","1992",1535485,
"Total 65 and over","1993",746331,
"Total population","1993",4640979,
"Females 65 and over","1993",508089,
"Females Total","1993",2439714,
"Males 65 and over","1993",238242,
"Males Total","1993",2201265,
"Average population","1993",4624311,
"Total 0-14","1993",817229,
"Total 15-64","1993",3077419,
"Females 0-14","1993",397817,
"Females 15-64","1993",1533808,
"Males 0-14","1993",419412,
"Males 15-64","1993",1543611,
"Total 65 and over","1994",751667,
"Total population","1994",4607643,
"Females 65 and over","1994",508289,
"Females Total","1994",2413876,
"Males 65 and over","1994",243378,
"Males Total","1994",2193767,
"Average population","1994",4595994,
"Total 0-14","1994",779135,
"Total 15-64","1994",3076841,
"Females 0-14","1994",379250,
"Females 15-64","1994",1526337,
"Males 0-14","1994",399885,
"Males 15-64","1994",1550504,
"Total 65 and over","1995",760279,
"Total population","1995",4584345,
"Females 65 and over","1995",509666,
"Females Total","1995",2392046,
"Males 65 and over","1995",250613,
"Males Total","1995",2192299,
"Average population","1995",4575474,
"Total 0-14","1995",740739,
"Total 15-64","1995",3083327,
"Females 0-14","1995",360682,
"Females 15-64","1995",1521698,
"Males 0-14","1995",380057,
"Males 15-64","1995",1561629,
"Total 65 and over","1996",768896,
"Total population","1996",4566603,
"Females 65 and over","1996",511006,
"Females Total","1996",2372006,
"Males 65 and over","1996",257890,
"Males Total","1996",2194597,
"Average population","1996",4556152.5,
"Total 0-14","1996",702263,
"Total 15-64","1996",3095444,
"Females 0-14","1996",341914,
"Females 15-64","1996",1519086,
"Males 0-14","1996",360349,
"Males 15-64","1996",1576358,
"Total 65 and over","1997",774200,
"Total population","1997",4545702,
"Females 65 and over","1997",510478,
"Females Total","1997",2354368,
"Males 65 and over","1997",263722,
"Males Total","1997",2191334,
"Average population","1997",4534057,
"Total 0-14","1997",669613,
"Total 15-64","1997",3101889,
"Females 0-14","1997",325847,
"Females 15-64","1997",1518043,
"Males 0-14","1997",343766,
"Males 15-64","1997",1583846,
"Total 65 and over","1998",778836,
"Total population","1998",4522412,
"Females 65 and over","1998",509499,
"Females Total","1998",2338244,
"Males 65 and over","1998",269337,
"Males Total","1998",2184168,
"Average population","1998",4505913.5,
"Total 0-14","1998",637621,
"Total 15-64","1998",3105955,
"Females 0-14","1998",310270,
"Females 15-64","1998",1518475,
"Males 0-14","1998",327351,
"Males 15-64","1998",1587480,
"Total 65 and over","1999",783936,
"Total population","1999",4489415,
"Females 65 and over","1999",508755,
"Females Total","1999",2319243,
"Males 65 and over","1999",275181,
"Males Total","1999",2170172,
"Average population","1999",4474550.5,
"Total 0-14","1999",606844,
"Total 15-64","1999",3098635,
"Females 0-14","1999",295213,
"Females 15-64","1999",1515275,
"Males 0-14","1999",311631,
"Males 15-64","1999",1583360,
"Total 65 and over","2000",802053,
"Total population","2000",4459686,
"Females 65 and over","2000",514911,
"Females Total","2000",2300960,
"Males 65 and over","2000",287142,
"Males Total","2000",2158726,
"Average population","2000",4442700,
"Total 0-14","2000",578271,
"Total 15-64","2000",3079362,
"Females 0-14","2000",281197,
"Females 15-64","2000",1504852,
"Males 0-14","2000",297074,
"Males 15-64","2000",1574510,
"Total 65 and over","2001",823675,
"Total population","2001",4425581,
"Females 65 and over","2001",522897,
"Females Total","2001",2280905,
"Males 65 and over","2001",300778,
"Males Total","2001",2144676,
"Average population","2001",4404700,
"Total 0-14","2001",550835,
"Total 15-64","2001",3051071,
"Females 0-14","2001",267980,
"Females 15-64","2001",1490028,
"Males 0-14","2001",282855,
"Males 15-64","2001",1561043,
"Total 65 and over","2002",845472,
"Total population","2002",4384192,
"Females 65 and over","2002",531474,
"Females Total","2002",2257469,
"Males 65 and over","2002",313998,
"Males Total","2002",2126723,
"Average population","2002",4365800,
"Total 0-14","2002",522225,
"Total 15-64","2002",3016495,
"Females 0-14","2002",253911,
"Females 15-64","2002",1472084,
"Males 0-14","2002",268314,
"Males 15-64","2002",1544411,
"Total 65 and over","2003",866261,
"Total population","2003",4349059,
"Females 65 and over","2003",539160,
"Females Total","2003",2236562,
"Males 65 and over","2003",327101,
"Males Total","2003",2112497,
"Average population","2003",4335200,
"Total 0-14","2003",494070,
"Total 15-64","2003",2988728,
"Females 0-14","2003",240575,
"Females 15-64","2003",1456827,
"Males 0-14","2003",253495,
"Males 15-64","2003",1531901,
"Total 65 and over","2004",890651,
"Total population","2004",4321437,
"Females 65 and over","2004",548758,
"Females Total","2004",2218669,
"Males 65 and over","2004",341893,
"Males Total","2004",2102768,
"Average population","2004",4308900,
"Total 0-14","2004",470594,
"Total 15-64","2004",2960192,
"Females 0-14","2004",229396,
"Females 15-64","2004",1440515,
"Males 0-14","2004",241198,
"Males 15-64","2004",1519677,
"Total 65 and over","2005",922165,
"Total population","2005",4296284,
"Females 65 and over","2005",562788,
"Females Total","2005",2204463,
"Males 65 and over","2005",359377,
"Males Total","2005",2091821,
"Average population","2005",4285000,
"Total 0-14","2005",451952,
"Total 15-64","2005",2922167,
"Females 0-14","2005",220474,
"Females 15-64","2005",1421201,
"Males 0-14","2005",231478,
"Males 15-64","2005",1500966,
"Total 65 and over","2006",953227,
"Total population","2006",4273754,
"Females 65 and over","2006",576560,
"Females Total","2006",2190514,
"Males 65 and over","2006",376667,
"Males Total","2006",2083240,
"Average population","2006",4261800,
"Total 0-14","2006",436305,
"Total 15-64","2006",2884222,
"Females 0-14","2006",212916,
"Females 15-64","2006",1401038,
"Males 0-14","2006",223389,
"Males 15-64","2006",1483184,
"Total 65 and over","2007",981905,
"Total population","2007",4249774,
"Females 65 and over","2007",589284,
"Females Total","2007",2176019,
"Males 65 and over","2007",392621,
"Males Total","2007",2073755,
"Average population","2007",4235000,
"Total 0-14","2007",437421,
"Total 15-64","2007",2830448,
"Females 0-14","2007",213572,
"Females 15-64","2007",1373163,
"Males 0-14","2007",223849,
"Males 15-64","2007",1457285,
"Total 65 and over","2008",995389,
"Total population","2008",4220200,
"Females 65 and over","2008",593851,
"Females Total","2008",2159396,
"Males 65 and over","2008",401538,
"Males Total","2008",2060804,
"Average population","2008",4220200,
"Total 0-14","2008",444508,
"Total 15-64","2008",2780303,
"Females 0-14","2008",216990,
"Females 15-64","2008",1348555,
"Males 0-14","2008",227518,
"Males 15-64","2008",1431748,
"Total 65 and over","2009",1012295,
"Total population","2009",4192801,
"Females 65 and over","2009",600247,
"Females Total","2009",2143628,
"Males 65 and over","2009",412048,
"Males Total","2009",2049173,
"Total 0-14","2009",454198,
"Total 15-64","2009",2726308,
"Females 0-14","2009",221812,
"Females 15-64","2009",1321569,
"Males 0-14","2009",232386,
"Males 15-64","2009",1404739,
"Total 65 and over","1990",373674,
"Total population","1990",2964971,
"Females 65 and over","1990",250492,
"Females Total","1990",1544039,
"Males 65 and over","1990",123182,
"Males Total","1990",1420932,
"Average population","1990",2919445,
"Total 0-14","1990",557294,
"Total 15-64","1990",2001819,
"Females 0-14","1990",271477,
"Females 15-64","1990",998448,
"Males 0-14","1990",285817,
"Males 15-64","1990",1003371,
"Total 65 and over","1991",404894,
"Total population","1991",2873919,
"Females 65 and over","1991",273975,
"Females Total","1991",1504100,
"Males 65 and over","1991",130919,
"Males Total","1991",1369819,
"Average population","1991",2848613,
"Total 0-14","1991",544485,
"Total 15-64","1991",1924540,
"Females 0-14","1991",264973,
"Females 15-64","1991",965152,
"Males 0-14","1991",279512,
"Males 15-64","1991",959388,
"Total 65 and over","1992",403634,
"Total population","1992",2823307,
"Females 65 and over","1992",273135,
"Females Total","1992",1473720,
"Males 65 and over","1992",130499,
"Males Total","1992",1349587,
"Average population","1992",2810138,
"Total 0-14","1992",526541,
"Total 15-64","1992",1893132,
"Females 0-14","1992",256244,
"Females 15-64","1992",944341,
"Males 0-14","1992",270297,
"Males 15-64","1992",948791,
"Total 65 and over","1993",405085,
"Total population","1993",2796969,
"Females 65 and over","1993",273070,
"Females Total","1993",1453755,
"Males 65 and over","1993",132015,
"Males Total","1993",1343214,
"Average population","1993",2787459,
"Total 0-14","1993",505016,
"Total 15-64","1993",1886868,
"Females 0-14","1993",245676,
"Females 15-64","1993",935009,
"Males 0-14","1993",259340,
"Males 15-64","1993",951859,
"Total 65 and over","1994",410667,
"Total population","1994",2777949,
"Females 65 and over","1994",275089,
"Females Total","1994",1440284,
"Males 65 and over","1994",135578,
"Males Total","1994",1337665,
"Average population","1994",2768581,
"Total 0-14","1994",483184,
"Total 15-64","1994",1884098,
"Females 0-14","1994",235003,
"Females 15-64","1994",930192,
"Males 0-14","1994",248181,
"Males 15-64","1994",953906,
"Total 65 and over","1995",416482,
"Total population","1995",2759213,
"Females 65 and over","1995",276861,
"Females Total","1995",1427086,
"Males 65 and over","1995",139621,
"Males Total","1995",1332127,
"Average population","1995",2749070.5,
"Total 0-14","1995",461014,
"Total 15-64","1995",1881717,
"Females 0-14","1995",224275,
"Females 15-64","1995",925950,
"Males 0-14","1995",236739,
"Males 15-64","1995",955767,
"Total 65 and over","1996",422571,
"Total population","1996",2738928,
"Females 65 and over","1996",278847,
"Females Total","1996",1413497,
"Males 65 and over","1996",143724,
"Males Total","1996",1325431,
"Average population","1996",2731274,
"Total 0-14","1996",437340,
"Total 15-64","1996",1879017,
"Females 0-14","1996",212660,
"Females 15-64","1996",921990,
