"Variable","Time","Value","Flags"
"Total 15-64","2006",7124654,
"Females 0-14","2006",805978,
"Females 15-64","2006",3525784,
"Males 0-14","2006",851155,
"Males 15-64","2006",3598870,
"Total 65 and over","2007",2010350,
"Total population","2007",10738753,
"Females 65 and over","2007",1158019,
"Females Total","2007",5464911,
"Males 65 and over","2007",852331,
"Males Total","2007",5273842,
"Average population","2007",10744300,
"Total 0-14","2007",1625248,
"Total 15-64","2007",7103155,
"Females 0-14","2007",790394,
"Females 15-64","2007",3516498,
"Males 0-14","2007",834854,
"Males 15-64","2007",3586657,
"Total 65 and over","2008",2041510,
"Total population","2008",10749755,
"Females 65 and over","2008",1169211,
"Females Total","2008",5466966,
"Males 65 and over","2008",872299,
"Males Total","2008",5282789,
"Average population","2008",10749755,
"Total 0-14","2008",1598261,
"Total 15-64","2008",7109984,
"Females 0-14","2008",777586,
"Females 15-64","2008",3520169,
"Males 0-14","2008",820675,
"Males 15-64","2008",3589815,
"Total 65 and over","2009",2069574,
"Total population","2009",10749506,
"Females 65 and over","2009",1179735,
"Females Total","2009",5463612,
"Males 65 and over","2009",889839,
"Males Total","2009",5285894,
"Total 0-14","2009",1571620,
"Total 15-64","2009",7108312,
"Females 0-14","2009",764906,
"Females 15-64","2009",3518971,
"Males 0-14","2009",806714,
"Males 15-64","2009",3589341,
"Total 65 and over","1990",1542364,
"Total population","1990",11220738,
"Females 65 and over","1990",996671,
"Females Total","1990",5800180,
"Males 65 and over","1990",545693,
"Males Total","1990",5420558,
"Average population","1990",11334818.5,
"Total 0-14","1990",1748056,
"Total 15-64","1990",7775291,
"Females 0-14","1990",850925,
"Females 15-64","1990",3838137,
"Males 0-14","1990",897131,
"Males 15-64","1990",3937154,
"Total 65 and over","1991",1723178,
"Total population","1991",11448899,
"Females 65 and over","1991",1126646,
"Females Total","1991",5893106,
"Males 65 and over","1991",596532,
"Males Total","1991",5555793,
"Average population","1991",11522435,
"Total 0-14","1991",1810914,
"Total 15-64","1991",7914807,
"Females 0-14","1991",881630,
"Females 15-64","1991",3884830,
"Males 0-14","1991",929284,
"Males 15-64","1991",4029977,
"Total 65 and over","1992",1747508,
"Total population","1992",11595971,
"Females 65 and over","1992",1138731,
"Females Total","1992",5956880,
"Males 65 and over","1992",608777,
"Males Total","1992",5639091,
"Average population","1992",11683129,
"Total 0-14","1992",1857842,
"Total 15-64","1992",7990621,
"Females 0-14","1992",904119,
"Females 15-64","1992",3914030,
"Males 0-14","1992",953723,
"Males 15-64","1992",4076591,
"Total 65 and over","1993",1771963,
"Total population","1993",11770287,
"Females 65 and over","1993",1147647,
"Females Total","1993",6028687,
"Males 65 and over","1993",624316,
"Males Total","1993",5741600,
"Average population","1993",11816820,
"Total 0-14","1993",1907023,
"Total 15-64","1993",8091301,
